"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","expires","protocol","priority","is_base_page","contentEncoding","jpeg_scan_count","score_progressive_jpeg",
"","323","","","-1","-1","Document","3","-1","-1","text/html","","1","","-1","-1","https://youtube.com/","-1","-1","301","-1","","290","","0","","181105_4J_2","-1","323","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","youtube.com","-1","-1","","-1","0","/","-1","","","323","0","323","323","323","0","0","323","323","0","1","1","0","","","","","","","","",
"","359","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://www.youtube.com/","-1","-1","302","-1","","675","","0","","181105_4J_2","-1","359","-1","-1","","0","323","-1","GET","0","","","0.2.1","-1","-1","www.youtube.com","-1","-1","","-1","323","/","-1","","","682","323","682","682","682","0","323","682","359","1","2","1","0","no-cache","Tue, 27 Apr 1971 19:44:06 EST","","","","","","",
"108.177.104.101","1150","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://m.youtube.com/","-1","-1","200","-1","","14334","","575","","181105_4J_2","-1","405","-1","100","","59786","682","-1","GET","13147","13147","","0.2.2","-1","-1","m.youtube.com","100","-1","","1","682","/","-1","","Google","1832","682","1087","1087","1832","745","682","1832","1150","2","3","1","0","no-cache","Tue, 27 Apr 1971 19:44:06 EST","h2","high","1","br","","",
"108.177.104.101","176","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://m.youtube.com/yts/cssbin/mobile-c3-light-2x-vflpLpc7o.css","-1","-1","200","-1","","14534","409","146","","181105_4J_2","-1","149","-1","100","31309081","97952","1847","-1","GET","14086","14086","","0.3","-1","-1","m.youtube.com","100","-1","https://m.youtube.com/","1","1844","/yts/cssbin/mobile-c3-light-2x-vflpLpc7o.css","100","","Google","2023","1847","1996","1996","2023","27","1847","2023","176","3","4","1","0","public, max-age=31536000","Sat, 02 Nov 2019 09:27:16 GMT","h2","high","","gzip","","",
"108.177.104.101","199","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","-1","-1","200","-1","","86158","409","52","","181105_4J_2","-1","57","-1","100","454771","268380","1849","-1","GET","85705","85705","","0.9","-1","-1","m.youtube.com","100","-1","https://m.youtube.com/","1","1848","/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","50","","Google","2048","1849","1906","1906","2048","142","1849","2048","199","4","5","1","0","public, max-age=691200","Sat, 10 Nov 2018 06:48:46 GMT","h2","high","","gzip","","",
"74.125.30.119","256","62560","","-1","95","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i.ytimg.com/vi/WS7GhAp-fGM/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLC8rm2ipEXe2y7I-HfkeFA8KwY8hA","-1","-1","200","-1","2684","62933","409","111","","181105_4J_2","-1","50","-1","100","4442","62560","2061","-1","GET","62560","","","0.5","-1","-1","i.ytimg.com","100","-1","https://m.youtube.com/","3","1845","/vi/WS7GhAp-fGM/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLC8rm2ipEXe2y7I-HfkeFA8KwY8hA","50","","Google","2317","2061","2111","2111","2317","206","2061","2317","256","5","6","1","0","public, max-age=7200","Mon, 05 Nov 2018 01:43:17 GMT","h2","low","","","1","0",
"74.125.30.119","274","28446","","-1","100","Image","3","1849","2059","image/jpeg","","1","","-1","1932","https://i.ytimg.com/vi/3dWYmg-F7RU/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLD9W_gPYmHSO_d28LAbPFY1XiTJVA","32","1932","200","127","0","28819","409","292","","181105_4J_2","1881","192","1882","100","394","28446","2061","50","GET","28446","","","0.4","-1","-1","i.ytimg.com","100","-1","https://m.youtube.com/","3","1845","/vi/3dWYmg-F7RU/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLD9W_gPYmHSO_d28LAbPFY1XiTJVA","0","","Google","2335","2061","2253","2253","2335","82","1849","2335","483","6","7","1","0","public, max-age=7200","Mon, 05 Nov 2018 00:35:49 GMT","h2","low","","","1","0",
"74.125.30.119","419","109943","","-1","91","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i.ytimg.com/vi/_QspToZLlQo/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDTaQBWra3tw92sjrRbwpWS49guug","-1","-1","200","-1","9756","110317","409","111","","181105_4J_2","-1","192","-1","100","209","109943","2062","-1","GET","109943","","","0.6","-1","-1","i.ytimg.com","100","-1","https://m.youtube.com/","3","1846","/vi/_QspToZLlQo/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDTaQBWra3tw92sjrRbwpWS49guug","0","","Google","2481","2062","2254","2254","2481","227","2062","2481","419","7","8","1","0","public, max-age=7200","Mon, 05 Nov 2018 00:32:44 GMT","h2","low","","","1","0",
"173.194.78.94","197","","","-1","-1","Font","3","1852","2134","font/woff2","","1","","-1","1961","https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2","58","1961","200","173","","11155","409","185","","181105_4J_2","1910","77","1911","100","31259692","10748","2135","50","GET","10748","","","0.7","-1","-1","fonts.gstatic.com","100","-1","https://m.youtube.com/","2","1847","/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2","100","","Google","2332","2135","2212","2212","2332","120","1852","2332","478","8","9","1","0","public, max-age=31536000","Fri, 01 Nov 2019 19:44:07 GMT","h2","medium","","","","",
"173.194.78.94","101","","","-1","-1","Font","3","-1","-1","font/woff2","","1","","-1","-1","https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2","-1","-1","200","-1","","11195","409","49","","181105_4J_2","-1","76","-1","100","31259693","10788","2136","-1","GET","10788","","","0.8","-1","-1","fonts.gstatic.com","100","-1","https://m.youtube.com/","2","1848","/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2","100","","Google","2237","2136","2212","2212","2237","25","2136","2237","101","9","10","1","0","public, max-age=31536000","Fri, 01 Nov 2019 19:44:08 GMT","h2","medium","","","","",
"","498","","","-1","-1","XHR","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://googleads.g.doubleclick.net/pagead/id","-1","-1","302","-1","","837","482","0","","181105_4J_2","-1","498","-1","-1","","0","2147","-1","GET","0","","498","0.10","-1","-1","googleads.g.doubleclick.net","-1","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","-1","2147","/pagead/id","-1","","","2645","2147","2645","2645","2645","0","2147","2645","498","10","11","1","0","no-cache, no-store, must-revalidate","Fri, 01 Jan 1990 00:00:00 GMT","","","","","","",
"","565","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","0","1","","100","-1","https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fm.youtube.com%2Fsignin%3Fapp%3Dm%26noapp%3D1%26hl%3Den%26next%3Dhttps%253A%252F%252Fm.youtube.com%252Fsignin_passive%26action_handle_signin%3Dtrue%26feature%3Dmobile_passive&service=youtube&hl=en&passive=true&uilel=3&ltmpl=mobile","-1","-1","200","-1","","0","","0","","181105_4J_2","-1","565","-1","100","","0","2188","-1","GET","0","0","","0.11","-1","-1","accounts.google.com","100","-1","","-1","2188","/ServiceLogin?continue=https%3A%2F%2Fm.youtube.com%2Fsignin%3Fapp%3Dm%26noapp%3D1%26hl%3Den%26next%3Dhttps%253A%252F%252Fm.youtube.com%252Fsignin_passive%26action_handle_signin%3Dtrue%26feature%3Dmobile_passive&service=youtube&hl=en&passive=true&uilel=3&ltmpl=mobile","-1","","Google","2753","2188","2753","2753","2753","0","2188","2753","565","11","12","1","0","no-cache, no-store, max-age=0, must-revalidate","Mon, 01 Jan 1990 00:00:00 GMT","","","","gzip","","",
"64.233.180.155","71","","","-1","-1","","3","-1","-1","application/json; charset=UTF-8","0","1","","100","-1","https://googleads.g.doubleclick.net/pagead/id?slf_rd=1","-1","-1","200","-1","","973","419","211","","181105_4J_2","-1","69","-1","100","","100","2644","-1","GET","120","120","","0.10.1","-1","-1","googleads.g.doubleclick.net","100","-1","https://m.youtube.com/","4","2644","/pagead/id?slf_rd=1","-1","","Google","2715","2644","2713","2713","2715","2","2644","2715","71","12","13","1","0","no-cache, no-store, must-revalidate","Fri, 01 Jan 1990 00:00:00 GMT","h2","medium","","gzip","","",
"","683","","","-1","-1","Image","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://ad.doubleclick.net/ddm/ad/N624.127733GOOGLE-YOUTUBE/B21689109.231615411;sz=1x1;ord=1812723820;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=?","-1","-1","302","-1","","710","597","0","","181105_4J_2","-1","683","-1","-1","","0","2782","-1","GET","0","","2","0.13","-1","-1","ad.doubleclick.net","-1","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","-1","2782","/ddm/ad/N624.127733GOOGLE-YOUTUBE/B21689109.231615411;sz=1x1;ord=1812723820;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=","-1","","","3465","2782","3465","3465","3465","0","2782","3465","683","13","14","1","0","no-cache, must-revalidate","Fri, 01 Jan 1990 00:00:00 GMT","","","","","","",
"108.177.104.101","309","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://m.youtube.com/yts/jsbin/player-plasma-ias-phone-en_US-vflCapfKX/base.js","-1","-1","200","-1","","293228","78","59","","181105_4J_2","-1","67","-1","100","454630","868500","2816","-1","GET","292774","292774","34","0.17","-1","-1","m.youtube.com","100","-1","https://m.youtube.com/","1","2815","/yts/jsbin/player-plasma-ias-phone-en_US-vflCapfKX/base.js","50","","Google","3125","2816","2883","2883","3125","242","2816","3125","309","14","15","1","0","public, max-age=691200","Sat, 10 Nov 2018 06:46:26 GMT","h2","high","","gzip","","",
"108.177.104.101","233","","","-1","-1","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://m.youtube.com/yts/cssbin/mobile-polymer-player-ias-mweb-2x-vfliEVKL6.css","-1","-1","200","-1","","55895","79","59","","181105_4J_2","-1","73","-1","100","31186682","334907","2817","-1","GET","55447","55447","34","0.18","-1","-1","m.youtube.com","100","-1","https://m.youtube.com/","1","2816","/yts/cssbin/mobile-polymer-player-ias-mweb-2x-vfliEVKL6.css","100","","Google","3050","2817","2890","2890","3050","160","2817","3050","233","15","16","1","0","public, max-age=31536000","Thu, 31 Oct 2019 23:27:18 GMT","h2","high","","gzip","","",
"74.125.30.119","200","39475","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i.ytimg.com/vi/1BvPnx4VP_w/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCdy-Nc0K0tqEIpkbTXY6cxlQEELw","-1","-1","200","-1","0","39848","157","112","","181105_4J_2","-1","138","-1","100","2008","39475","2927","-1","GET","39475","","49","0.19","-1","-1","i.ytimg.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","3","2919","/vi/1BvPnx4VP_w/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCdy-Nc0K0tqEIpkbTXY6cxlQEELw","0","","Google","3127","2927","3065","3065","3127","62","2927","3127","200","16","17","1","0","public, max-age=7200","Mon, 05 Nov 2018 01:02:44 GMT","h2","low","","","1","0",
"74.125.30.119","193","53435","","-1","91","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i.ytimg.com/vi/_W_i6jNOvFI/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLA3hcRtaZOFl2RUNbw6OS1lJEc1Rw","-1","-1","200","-1","4387","53807","157","111","","181105_4J_2","-1","86","-1","100","6880","53435","2928","-1","GET","53435","","49","0.21","-1","-1","i.ytimg.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","3","2922","/vi/_W_i6jNOvFI/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLA3hcRtaZOFl2RUNbw6OS1lJEc1Rw","50","","Google","3121","2928","3014","3014","3121","107","2928","3121","193","17","18","1","0","public, max-age=7200","Mon, 05 Nov 2018 02:23:56 GMT","h2","low","","","1","0",
"74.125.30.119","200","44955","","-1","94","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i.ytimg.com/vi/zVq36yhpxzU/hqdefault.jpg?v=5ba83fff","-1","-1","200","-1","2312","45327","157","47","","181105_4J_2","-1","65","-1","100","6548","44955","2930","-1","GET","44955","","49","0.23","-1","-1","i.ytimg.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","3","2924","/vi/zVq36yhpxzU/hqdefault.jpg?v=5ba83fff","50","","Google","3130","2930","2995","2995","3130","135","2930","3130","200","18","19","1","0","public, max-age=7200","Mon, 05 Nov 2018 02:18:24 GMT","h2","low","","","1","0",
"74.125.30.119","157","49397","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i.ytimg.com/vi/fymM6VcMwoI/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDMNedjUAuy9xhtWmWqcYeKQj2WzA","-1","-1","200","-1","0","49769","157","112","","181105_4J_2","-1","94","-1","100","6607","49397","2972","-1","GET","49397","","49","0.25","-1","-1","i.ytimg.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","3","2971","/vi/fymM6VcMwoI/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDMNedjUAuy9xhtWmWqcYeKQj2WzA","50","","Google","3129","2972","3066","3066","3129","63","2972","3129","157","19","20","1","0","public, max-age=7200","Mon, 05 Nov 2018 02:19:23 GMT","h2","low","","","1","0",
"108.177.103.132","91","1769","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-gkkNqtH5VfA/AAAAAAAAAAI/AAAAAAAAAAA/EFPu-HqSUxs/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","2228","157","81","","181105_4J_2","-1","57","-1","100","75004","1769","3282","-1","GET","1769","","49","0.20","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2920","/-gkkNqtH5VfA/AAAAAAAAAAI/AAAAAAAAAAA/EFPu-HqSUxs/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3373","3282","3339","3339","3373","34","3282","3373","91","20","21","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 17:17:49 GMT","h2","low","","","1","50",
"108.177.103.132","177","2642","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-eDNwKdw6BoY/AAAAAAAAAAI/AAAAAAAAAAA/oI7DHxc4AWg/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","3100","157","80","","181105_4J_2","-1","120","-1","100","82651","2642","3285","-1","GET","2642","","49","0.26","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2972","/-eDNwKdw6BoY/AAAAAAAAAAI/AAAAAAAAAAA/oI7DHxc4AWg/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3462","3285","3405","3405","3462","57","3285","3462","177","21","22","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 23:26:48 GMT","h2","low","","","1","50",
