"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","expires","protocol","priority","is_base_page","contentEncoding","jpeg_scan_count","score_progressive_jpeg",
"108.177.103.132","81","2263","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-MNBYneC6b7c/AAAAAAAAAAI/AAAAAAAAAAA/R9DDds0VQKw/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","2722","157","80","","181105_4J_2","-1","53","-1","100","85257","2263","3285","-1","GET","2263","","49","0.22","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2923","/-MNBYneC6b7c/AAAAAAAAAAI/AAAAAAAAAAA/R9DDds0VQKw/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3366","3285","3338","3338","3366","28","3285","3366","81","22","23","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 16:10:01 GMT","h2","low","","","1","50",
"108.177.103.132","176","1874","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-g4MkPQge5mY/AAAAAAAAAAI/AAAAAAAAAAA/skGZKEts2fs/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","2332","157","80","","181105_4J_2","-1","123","-1","100","76429","1874","3287","-1","GET","1874","","49","0.24","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2925","/-g4MkPQge5mY/AAAAAAAAAAI/AAAAAAAAAAA/skGZKEts2fs/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3463","3287","3410","3410","3463","53","3287","3463","176","23","24","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 17:42:33 GMT","h2","low","","","1","50",
"108.177.103.132","173","3195","","-1","100","Image","3","2805","3284","image/jpeg","","1","","-1","2931","https://yt3.ggpht.com/-x5vurDKQ4fI/AAAAAAAAAAI/AAAAAAAAAAA/VwKFNkAN5kM/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","63","2931","200","353","0","3655","157","263","","181105_4J_2","2868","122","2871","100","73534","3195","3287","60","GET","3195","","49","0.14","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2784","/-x5vurDKQ4fI/AAAAAAAAAAI/AAAAAAAAAAA/VwKFNkAN5kM/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3460","3287","3409","3409","3460","51","2805","3460","649","24","25","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 20:54:51 GMT","h2","low","","","1","50",
"108.177.103.157","156","","","-1","-1","Image","3","2789","3275","image/gif","","1","","-1","2919","https://securepubads.g.doubleclick.net/pcs/view?xai=AKAOjst1Ei_NGp9e3r9Xn_5VEIvd5nLzvaVtZOliYa6mAYtLHMt254x0JUkyKXDuLbvzAJVHa2GgYxiqBM3aBa2x_DlTEpQwqTEPS6jBJ3_LUY31p3-0QTmabz-qrCnfpedUBravC7nuy0tWdGz2N3nEc8BwKfH4OTVPKzB3tfUKv6hdVTvJTzfQkMDdxxbvvTeO1ZSYCMcNb6QerQNX8gv1Rlc3ZlbqLCy0swk&sig=Cg0ArKJSzEFuixU6YVtCEAE&urlfix=1&adurl=","73","2919","200","356","","558","597","440","","181105_4J_2","2862","124","2863","100","","0","3287","56","GET","0","","2","0.12","-1","-1","securepubads.g.doubleclick.net","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","6","2782","/pcs/view?xai=AKAOjst1Ei_NGp9e3r9Xn_5VEIvd5nLzvaVtZOliYa6mAYtLHMt254x0JUkyKXDuLbvzAJVHa2GgYxiqBM3aBa2x_DlTEpQwqTEPS6jBJ3_LUY31p3-0QTmabz-qrCnfpedUBravC7nuy0tWdGz2N3nEc8BwKfH4OTVPKzB3tfUKv6hdVTvJTzfQkMDdxxbvvTeO1ZSYCMcNb6QerQNX8gv1Rlc3ZlbqLCy0swk&sig=Cg0ArKJSzEFuixU6YVtCEAE&urlfix=1&adurl=","-1","","Google","3443","3287","3411","3411","3443","32","2789","3443","641","25","26","1","0","private","Mon, 05 Nov 2018 00:29:17 GMT","h2","low","","","","",
"108.177.103.132","169","3978","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-xIpCEoEWz-U/AAAAAAAAAAI/AAAAAAAAAAA/583J6o-KtGc/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","4437","157","80","","181105_4J_2","-1","121","-1","100","73662","3978","3289","-1","GET","3978","","49","0.15","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2786","/-xIpCEoEWz-U/AAAAAAAAAAI/AAAAAAAAAAA/583J6o-KtGc/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3458","3289","3410","3410","3458","48","3289","3458","169","26","27","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 20:56:59 GMT","h2","low","","","1","50",
"108.177.103.132","165","6827","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-tThwVvqqa3k/AAAAAAAAAAI/AAAAAAAAAAA/WhQ7IiQthjc/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","7285","157","80","","181105_4J_2","-1","61","-1","100","74919","6827","3290","-1","GET","6827","","49","0.16","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2787","/-tThwVvqqa3k/AAAAAAAAAAI/AAAAAAAAAAA/WhQ7IiQthjc/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","3455","3290","3351","3351","3455","104","3290","3455","165","27","28","1","0","public, max-age=86400, no-transform","Mon, 05 Nov 2018 21:17:56 GMT","h2","low","","","1","50",
"23.218.103.174","418","35","","-1","100","","3","-1","-1","image/gif","","1","","-1","-1","https://secure.insightexpressai.com/adServer/adServerESI.aspx?bannerID=3608830&rnd=1108025237","-1","-1","200","-1","0","895","","721","","181105_4J_2","-1","417","-1","100","","35","3465","-1","GET","35","","","0.13.1","-1","-1","secure.insightexpressai.com","100","-1","","7","3465","/adServer/adServerESI.aspx?bannerID=3608830&rnd=1108025237","-1","","Akamai","3883","3465","3882","3882","3883","1","3465","3883","418","28","29","1","0","max-age=0, no-cache","Mon, 05 Nov 2018 00:29:17 GMT","http/1.1","low","","","","",
"108.177.104.101","117","","","-1","-1","Image","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://m.youtube.com/csi_204?v=2&s=youtube_mobile&action=home&yt_sts=n&st=669&vpni=2&vpil=2&yt_lt=cold&is_nav=1&csn=2o7fW7m7I6LOiwSm8JKIDA&p=h2&t=tcp&yt_vis=1&pis=u&yt_fn=what_to_watch&GetBrowse_rid=0xafef2e865f8c4951&c=MWEB&cver=2.20181101&yt_li=0&h2pc=0&rt=pe.3287,ai.2109,apr.2139,srt.973,nreqs.868,nress.973,nrese.1835,ndnss.674,ndnse.704,ntcps.704,ntcpe.868,nstcps.757,wffs.1850,wffe.2267,rsf_mcj.1851,rse_mcj.2032,pdr.2215,cpt.2302,vpl.2931,aft.2302,ps.3474","-1","-1","204","-1","","41","597","395","","181105_4J_2","-1","88","-1","-1","","0","3473","-1","GET","0","","2","0.27","-1","-1","m.youtube.com","-1","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","1","3472","/csi_204?v=2&s=youtube_mobile&action=home&yt_sts=n&st=669&vpni=2&vpil=2&yt_lt=cold&is_nav=1&csn=2o7fW7m7I6LOiwSm8JKIDA&p=h2&t=tcp&yt_vis=1&pis=u&yt_fn=what_to_watch&GetBrowse_rid=0xafef2e865f8c4951&c=MWEB&cver=2.20181101&yt_li=0&h2pc=0&rt=pe.3287,ai.2109,apr.2139,srt.973,nreqs.868,nress.973,nrese.1835,ndnss.674,ndnse.704,ntcps.704,ntcpe.868,nstcps.757,wffs.1850,wffe.2267,rsf_mcj.1851,rse_mcj.2032,pdr.2215,cpt.2302,vpl.2931,aft.2302,ps.3474","-1","","","3590","3473","3561","3561","3590","29","3473","3590","117","29","30","1","0","no-cache","Tue, 27 Apr 1971 19:44:06 EST","h2","low","","","","",
"","446","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://www.youtube.com/","-1","-1","302","-1","","565","","0","","181105_4J_2","-1","446","-1","-1","","0","24","-1","GET","0","","","0.2.1","-1","-1","www.youtube.com","-1","-1","","-1","24","/","-1","","","470","24","470","470","470","0","24","470","446","0","1","1","1","no-cache","Tue, 27 Apr 1971 19:44:06 EST","","","","","","",
"108.177.104.100","754","","","-1","-1","Document","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://m.youtube.com/","-1","-1","200","-1","","13789","","477","","181105_4J_2","-1","305","-1","100","","59540","470","-1","GET","13110","13110","","0.2.2","-1","-1","m.youtube.com","100","-1","","1","470","/","-1","","Google","1224","470","775","775","1224","449","470","1224","754","1","2","1","1","no-cache","Tue, 27 Apr 1971 19:44:06 EST","h2","high","1","br","","",
"","291","","","-1","-1","XHR","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://googleads.g.doubleclick.net/pagead/id","-1","-1","302","-1","","837","482","0","","181105_4J_2","-1","291","-1","-1","","0","1394","-1","GET","0","","498","0.10","-1","-1","googleads.g.doubleclick.net","-1","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","-1","1394","/pagead/id","-1","","","1685","1394","1685","1685","1685","0","1394","1685","291","2","3","1","1","no-cache, no-store, must-revalidate","Fri, 01 Jan 1990 00:00:00 GMT","","","","","","",
"74.125.30.119","172","51738","","-1","100","Image","3","1241","1491","image/jpeg","","1","","-1","1335","https://i.ytimg.com/vi/jzcRZST-oZ4/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBy0RIspHlbmtFZ9PjFcH11zBI6aA","34","1335","200","156","0","52111","409","292","","181105_4J_2","1275","59","1276","100","2600","51738","1491","59","GET","51738","","","0.5","-1","-1","i.ytimg.com","100","-1","https://m.youtube.com/","2","1239","/vi/jzcRZST-oZ4/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBy0RIspHlbmtFZ9PjFcH11zBI6aA","0","","Google","1663","1491","1550","1550","1663","113","1241","1663","421","3","4","1","1","public, max-age=7200","Mon, 05 Nov 2018 01:12:55 GMT","h2","low","","","1","0",
"64.233.180.155","73","","","-1","-1","","3","-1","-1","application/json; charset=UTF-8","0","1","","100","-1","https://googleads.g.doubleclick.net/pagead/id?slf_rd=1","-1","-1","200","-1","","973","","211","","181105_4J_2","-1","73","-1","100","","100","1685","-1","GET","120","120","","0.10.1","-1","-1","googleads.g.doubleclick.net","100","-1","","3","1685","/pagead/id?slf_rd=1","-1","","Google","1758","1685","1758","1758","1758","0","1685","1758","73","4","5","1","1","no-cache, no-store, must-revalidate","Fri, 01 Jan 1990 00:00:00 GMT","h2","medium","","gzip","","",
"","366","","","-1","-1","Image","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://ad.doubleclick.net/ddm/ad/N624.127733GOOGLE-YOUTUBE/B21689109.231615411;sz=1x1;ord=1339177992;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=?","-1","-1","302","-1","","710","597","0","","181105_4J_2","-1","366","-1","-1","","0","1720","-1","GET","0","","2","0.12","-1","-1","ad.doubleclick.net","-1","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","-1","1720","/ddm/ad/N624.127733GOOGLE-YOUTUBE/B21689109.231615411;sz=1x1;ord=1339177992;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=","-1","","","2086","1720","2086","2086","2086","0","1720","2086","366","5","6","1","1","no-cache, must-revalidate","Fri, 01 Jan 1990 00:00:00 GMT","","","","","","",
"108.177.103.157","96","","","-1","-1","Image","3","1721","1968","image/gif","","1","","-1","1780","https://securepubads.g.doubleclick.net/pcs/view?xai=AKAOjss1ENU0RNFmBemAyNopQ2QGOde9Nkuo2qE4PyxdBTdOUF8oiGTtahqVkTXjaYX07oIMKNokXZZuKaVcnXFk3s-G6OD-ebRpVbYiFLd92CAcRiq3sn-1lG0qOHykaVTV3cPg2tjeyDtZhzbL7nrGSaoKTDsNpJKkoiimn_1-Z5es4n58ZwHnkqL1nzFI65uNDkrP4dS4_IlXzdWLNoqeK8yIXIeFOja9hG4&sig=Cg0ArKJSzBBeMR0yJyDfEAE&urlfix=1&adurl=","4","1780","200","188","","558","597","438","","181105_4J_2","1725","81","1726","100","","0","1973","54","GET","0","","2","0.11","-1","-1","securepubads.g.doubleclick.net","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","4","1719","/pcs/view?xai=AKAOjss1ENU0RNFmBemAyNopQ2QGOde9Nkuo2qE4PyxdBTdOUF8oiGTtahqVkTXjaYX07oIMKNokXZZuKaVcnXFk3s-G6OD-ebRpVbYiFLd92CAcRiq3sn-1lG0qOHykaVTV3cPg2tjeyDtZhzbL7nrGSaoKTDsNpJKkoiimn_1-Z5es4n58ZwHnkqL1nzFI65uNDkrP4dS4_IlXzdWLNoqeK8yIXIeFOja9hG4&sig=Cg0ArKJSzBBeMR0yJyDfEAE&urlfix=1&adurl=","-1","","Google","2069","1973","2054","2054","2069","15","1721","2069","342","6","7","1","1","private","Mon, 05 Nov 2018 00:29:35 GMT","h2","low","","","","",
"108.177.103.132","74","3871","","-1","100","Image","3","1727","1997","image/jpeg","","1","","-1","1793","https://yt3.ggpht.com/-DX9R74Fuzps/AAAAAAAAAAI/AAAAAAAAAAA/pWI3GXGC8R0/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","3","1793","200","204","0","4330","157","263","","181105_4J_2","1730","59","1730","100","83687","3871","1998","63","GET","3871","","49","0.14","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","1724","/-DX9R74Fuzps/AAAAAAAAAAI/AAAAAAAAAAA/pWI3GXGC8R0/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","2072","1998","2057","2057","2072","15","1727","2072","344","7","8","1","1","public, max-age=86400, no-transform","Mon, 05 Nov 2018 19:44:17 GMT","h2","low","","","1","50",
"23.222.194.195","341","35","","-1","100","","3","-1","-1","image/gif","","1","","-1","-1","https://secure.insightexpressai.com/adServer/adServerESI.aspx?bannerID=3608830&rnd=2198301706","-1","-1","200","-1","0","895","","721","","181105_4J_2","-1","340","-1","100","","35","2086","-1","GET","35","","","0.12.1","-1","-1","secure.insightexpressai.com","100","-1","","6","2086","/adServer/adServerESI.aspx?bannerID=3608830&rnd=2198301706","-1","","Akamai","2427","2086","2426","2426","2427","1","2086","2427","341","8","9","1","1","max-age=0, no-cache","Mon, 05 Nov 2018 00:29:35 GMT","http/1.1","low","","","","",
"74.125.30.119","181","73708","","-1","97","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i.ytimg.com/vi/hl-WDxx1rpE/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDsr9LajjHMJ6EN3wGz1XFIqtGw4g","-1","-1","200","-1","1784","74081","157","112","","181105_4J_2","-1","54","-1","100","5863","73708","2115","-1","GET","73708","","49","0.24","-1","-1","i.ytimg.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","2","2114","/vi/hl-WDxx1rpE/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDsr9LajjHMJ6EN3wGz1XFIqtGw4g","50","","Google","2296","2115","2169","2169","2296","127","2115","2296","181","9","10","1","1","public, max-age=7200","Mon, 05 Nov 2018 02:07:18 GMT","h2","low","","","1","0",
"108.177.103.132","95","4539","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://yt3.ggpht.com/-Ar46mbQ_Nog/AAAAAAAAAAI/AAAAAAAAAAA/YnvLnnxNOeE/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","-1","-1","200","-1","0","4997","157","80","","181105_4J_2","-1","52","-1","100","85504","4539","2115","-1","GET","4539","","49","0.25","-1","-1","yt3.ggpht.com","100","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","5","2115","/-Ar46mbQ_Nog/AAAAAAAAAAI/AAAAAAAAAAA/YnvLnnxNOeE/s68-c-k-no-mo-rj-c0xffffff/photo.jpg","50","","Google","2210","2115","2167","2167","2210","43","2115","2210","95","10","11","1","1","public, max-age=86400, no-transform","Mon, 05 Nov 2018 20:14:08 GMT","h2","low","","","1","50",
"108.177.104.100","99","","","-1","-1","Image","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://m.youtube.com/csi_204?v=2&s=youtube_mobile&action=home&yt_sts=n&st=480&vpni=2&vpil=2&yt_lt=cold&is_nav=1&csn=7o7fW7LNDZGRiwTlrpLwDg&p=h2&t=tcp&yt_vis=1&pis=u&yt_fn=what_to_watch&GetBrowse_rid=0x1f796afc4e390398&c=MWEB&cver=2.20181101&yt_li=0&h2pc=0&rt=pe.1989,ai.1370,apr.1393,srt.772,nreqs.653,nress.772,nrese.1228,ndnss.463,ndnse.465,ntcps.465,ntcpe.652,nstcps.511,rsf_mcj.1246,rse_mcj.1246,pdr.1431,cpt.1491,vpl.2055,aft.1491,ps.2620","-1","-1","204","-1","","41","597","397","","181105_4J_2","-1","94","-1","-1","","0","2618","-1","GET","0","","2","0.26","-1","-1","m.youtube.com","-1","-1","https://m.youtube.com/yts/jsbin/mobile-c3-vflFjOsD9/mobile-c3.js","1","2617","/csi_204?v=2&s=youtube_mobile&action=home&yt_sts=n&st=480&vpni=2&vpil=2&yt_lt=cold&is_nav=1&csn=7o7fW7LNDZGRiwTlrpLwDg&p=h2&t=tcp&yt_vis=1&pis=u&yt_fn=what_to_watch&GetBrowse_rid=0x1f796afc4e390398&c=MWEB&cver=2.20181101&yt_li=0&h2pc=0&rt=pe.1989,ai.1370,apr.1393,srt.772,nreqs.653,nress.772,nrese.1228,ndnss.463,ndnse.465,ntcps.465,ntcpe.652,nstcps.511,rsf_mcj.1246,rse_mcj.1246,pdr.1431,cpt.1491,vpl.2055,aft.1491,ps.2620","-1","","","2717","2618","2712","2712","2717","5","2618","2717","99","11","12","1","1","no-cache","Tue, 27 Apr 1971 19:44:06 EST","h2","low","","","","",
