"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","cacheControl","contentEncoding","expires",
"","271","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://whatsapp.com/","-1","-1","301","-1","","239","","0","","181105_FB_X","-1","271","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","whatsapp.com","-1","-1","","-1","0","/","-1","","","271","0","271","271","271","0","0","271","271","0","1","1","0","","","","","","","",
"157.240.18.52","601","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.whatsapp.com/","-1","-1","200","-1","","95514","","499","","181105_FB_X","-1","320","-1","100","","489139","271","-1","GET","94656","94656","","0.2.1","-1","-1","www.whatsapp.com","100","-1","","1","271","/","-1","","Facebook","872","271","591","591","872","281","271","872","601","1","2","1","0","h2","high","text/html; charset=""utf-8""","1","private, no-cache, no-store, must-revalidate","br","Sat, 01 Jan 2000 00:00:00 GMT",
"","938","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://blog.whatsapp.com/cookie?l=en","-1","-1","301","-1","","252","9","0","","181105_FB_X","-1","938","-1","-1","","0","883","-1","GET","0","","","0.15","-1","-1","blog.whatsapp.com","-1","-1","https://www.whatsapp.com/","-1","883","/cookie?l=en","-1","","","1821","883","1821","1821","1821","0","883","1821","938","2","3","1","0","","","","","","","",
"","404","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://www.whatsapp.com/cookie?l=en","-1","-1","301","-1","","395","9","0","","181105_FB_X","-1","404","-1","-1","","0","883","-1","GET","0","","","0.16","-1","-1","www.whatsapp.com","-1","-1","https://www.whatsapp.com/","-1","883","/cookie?l=en","-1","","","1287","883","1287","1287","1287","0","883","1287","404","3","4","1","0","","","","","","","",
"157.240.18.19","300","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","-1","-1","200","-1","","71760","9","45","","181105_FB_X","-1","116","-1","100","31536000","306040","1008","-1","GET","71203","71203","","0.9","-1","-1","static.xx.fbcdn.net","100","-1","https://www.whatsapp.com/","2","851","/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","100","","Facebook","1308","1008","1124","1124","1308","184","1008","1308","300","4","5","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 05:40:09 GMT",
"157.240.18.19","71","","","-1","-1","Stylesheet","3","855","1006","0","1","","100","927","https://static.xx.fbcdn.net/rsrc.php/v3/yM/l/0,cross/CQUeYGIKFZW.css","40","927","200","79","","38411","3","202","","181105_FB_X","895","22","897","100","31536000","175721","1008","30","GET","37231","37231","","0.3","-1","-1","static.xx.fbcdn.net","100","-1","https://www.whatsapp.com/","2","847","/rsrc.php/v3/yM/l/0,cross/CQUeYGIKFZW.css","100","","Facebook","1079","1008","1030","1030","1079","49","855","1079","220","5","6","1","0","h2","high","text/css; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 12:00:04 GMT",
"157.240.18.19","191","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yH/l/0,cross/VWLbRBjmnDf.css","-1","-1","200","-1","","2395","4","46","","181105_FB_X","-1","92","-1","100","31536000","6311","1008","-1","GET","1320","1320","","0.4","-1","-1","static.xx.fbcdn.net","100","-1","https://www.whatsapp.com/","2","848","/rsrc.php/v3/yH/l/0,cross/VWLbRBjmnDf.css","100","","Facebook","1199","1008","1100","1100","1199","99","1008","1199","191","6","7","1","0","h2","high","text/css; charset=utf-8","","public,max-age=31536000,immutable","br","Wed, 23 Oct 2019 19:10:24 GMT",
"157.240.18.19","243","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/ys/l/0,cross/bGTFo7dYK9o.css","-1","-1","200","-1","","8822","8","46","","181105_FB_X","-1","117","-1","100","31536000","35900","1009","-1","GET","7643","7643","","0.8","-1","-1","static.xx.fbcdn.net","100","-1","https://www.whatsapp.com/","2","851","/rsrc.php/v3/ys/l/0,cross/bGTFo7dYK9o.css","100","","Facebook","1252","1009","1126","1126","1252","126","1009","1252","243","7","8","1","0","h2","high","text/css; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 11:00:02 GMT",
"157.240.18.19","249","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yS/l/0,cross/FJ9YyGVjxUV.css","-1","-1","200","-1","","15454","5","47","","181105_FB_X","-1","92","-1","100","31536000","174123","1009","-1","GET","14378","14378","","0.5","-1","-1","static.xx.fbcdn.net","100","-1","https://www.whatsapp.com/","2","849","/rsrc.php/v3/yS/l/0,cross/FJ9YyGVjxUV.css","100","","Facebook","1258","1009","1101","1101","1258","157","1009","1258","249","8","9","1","0","h2","high","text/css; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 28 Oct 2019 11:27:02 GMT",
"157.240.18.19","231","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/y9/l/0,cross/L3i4WkBtpDz.css","-1","-1","200","-1","","15522","7","46","","181105_FB_X","-1","117","-1","100","31536000","88671","1009","-1","GET","14342","14342","","0.7","-1","-1","static.xx.fbcdn.net","100","-1","https://www.whatsapp.com/","2","850","/rsrc.php/v3/y9/l/0,cross/L3i4WkBtpDz.css","100","","Facebook","1240","1009","1126","1126","1240","114","1009","1240","231","9","10","1","0","h2","high","text/css; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 11:01:18 GMT",
"157.240.18.19","142","","","-1","-1","Stylesheet","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/y9/l/0,cross/tF19CzrrZ0B.css","-1","-1","200","-1","","37105","6","46","","181105_FB_X","-1","90","-1","100","31536000","245750","1009","-1","GET","35925","35925","","0.6","-1","-1","static.xx.fbcdn.net","100","-1","https://www.whatsapp.com/","2","850","/rsrc.php/v3/y9/l/0,cross/tF19CzrrZ0B.css","100","","Facebook","1151","1009","1099","1099","1151","52","1009","1151","142","10","11","1","0","h2","high","text/css; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 11:10:17 GMT",
"157.240.18.52","157","","","-1","-1","Image","3","-1","-1","1879","1","","47","-1","https://www-cdn.whatsapp.net/img/v4/icon-android.svg","-1","-1","200","-1","","4164","9","33","","181105_FB_X","-1","41","-1","100","1209600","3612","1048","-1","GET","3612","3612","","0.11","-1","-1","www-cdn.whatsapp.net","100","-1","https://www.whatsapp.com/","3","881","/img/v4/icon-android.svg","100","","Facebook","1205","1048","1089","1089","1205","116","1048","1205","157","11","12","1","0","h2","low","image/svg+xml; charset=utf-8","","max-age=1209600, no-transform","","",
"157.240.18.52","165","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://www-cdn.whatsapp.net/img/v4/icon-desktop.svg","-1","-1","200","-1","","1466","9","33","","181105_FB_X","-1","41","-1","100","1209600","915","1048","-1","GET","915","","","0.13","-1","-1","www-cdn.whatsapp.net","100","-1","https://www.whatsapp.com/","3","882","/img/v4/icon-desktop.svg","100","","Facebook","1213","1048","1089","1089","1213","124","1048","1213","165","12","13","1","0","h2","low","image/svg+xml; charset=utf-8","","max-age=1209600, no-transform","","",
"157.240.18.52","163","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://www-cdn.whatsapp.net/img/v4/icon-iphone.svg","-1","-1","200","-1","","2323","9","32","","181105_FB_X","-1","41","-1","100","1209600","1769","1048","-1","GET","1769","","","0.12","-1","-1","www-cdn.whatsapp.net","100","-1","https://www.whatsapp.com/","3","882","/img/v4/icon-iphone.svg","100","","Facebook","1211","1048","1089","1089","1211","122","1048","1211","163","13","14","1","0","h2","low","image/svg+xml; charset=utf-8","","max-age=1209600, no-transform","","",
"157.240.18.52","167","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://www-cdn.whatsapp.net/img/v4/icon-wp.svg","-1","-1","200","-1","","1578","9","29","","181105_FB_X","-1","41","-1","100","1209600","1028","1049","-1","GET","1028","","","0.14","-1","-1","www-cdn.whatsapp.net","100","-1","https://www.whatsapp.com/","3","883","/img/v4/icon-wp.svg","100","","Facebook","1216","1049","1090","1090","1216","126","1049","1216","167","14","15","1","0","h2","low","image/svg+xml; charset=utf-8","","max-age=1209600, no-transform","","",
"157.240.18.52","178","","","-1","-1","Image","3","883","1048","5780","1","","31","961","https://www-cdn.whatsapp.net/img/v4/badge-apple-store-en.svg","55","961","200","87","","9018","9","228","","181105_FB_X","938","41","939","100","1209600","8467","1049","22","GET","8467","8467","","0.10","-1","-1","www-cdn.whatsapp.net","100","-1","https://www.whatsapp.com/","3","881","/img/v4/badge-apple-store-en.svg","100","","Facebook","1227","1049","1090","1090","1227","137","883","1227","342","15","16","1","0","h2","low","image/svg+xml; charset=utf-8","","max-age=1209600, no-transform","","",
"157.240.18.52","534","","","-1","-1","","3","-1","-1","","1","","-1","-1","https://www.whatsapp.com/cookie/?l=en","-1","-1","200","-1","","540","9","160","","181105_FB_X","-1","534","-1","100","","0","1287","-1","GET","0","","","0.16.1","-1","-1","www.whatsapp.com","100","-1","https://www.whatsapp.com/","1","1287","/cookie/?l=en","-1","","Facebook","1821","1287","1821","1821","1821","0","1287","1821","534","16","17","1","0","h2","low","text/html","","no-store, no-cache, must-revalidate","","",
"157.240.18.52","313","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://www.whatsapp.com/richard_smells_funny/animation/security_localized.html?v=9bd4dace1&l=en","-1","-1","200","-1","","2961","","115","","181105_FB_X","-1","47","-1","100","","2500","1625","-1","GET","2500","","","0.17","-1","-1","www.whatsapp.com","100","-1","","1","1624","/richard_smells_funny/animation/security_localized.html?v=9bd4dace1&l=en","-1","","Facebook","1938","1625","1672","1672","1938","266","1625","1938","313","17","18","1","0","h2","high","text/html; charset=utf-8","","max-age=18000","","Sat, 03 Nov 2018 07:03:16 GMT",
"157.240.18.19","329","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iRTk4/yb/l/en_US/eMWv55rGfvF.js","-1","-1","200","-1","","80137","144","49","","181105_FB_X","-1","59","-1","100","31536000","426599","1718","-1","GET","79045","79045","6822","0.19","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1717","/rsrc.php/v3iRTk4/yb/l/en_US/eMWv55rGfvF.js","100","","Facebook","2047","1718","1777","1777","2047","270","1718","2047","329","18","19","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:30 GMT",
"157.240.18.19","543","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3i04w4/yI/l/en_US/AFmexsFfwwm.js","-1","-1","200","-1","","150143","144","51","","181105_FB_X","-1","22","-1","100","31536000","681462","1718","-1","GET","149050","149050","6822","0.18","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1717","/rsrc.php/v3i04w4/yI/l/en_US/AFmexsFfwwm.js","100","","Facebook","2261","1718","1740","1740","2261","521","1718","2261","543","19","20","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:30 GMT",
"157.240.18.19","319","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3i3it4/yP/l/en_US/i1kr3w4yK9w.js","-1","-1","200","-1","","34840","144","48","","181105_FB_X","-1","74","-1","100","31536000","121948","1719","-1","GET","33748","33748","6822","0.20","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1718","/rsrc.php/v3i3it4/yP/l/en_US/i1kr3w4yK9w.js","100","","Facebook","2038","1719","1793","1793","2038","245","1719","2038","319","20","21","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 10:34:21 GMT",
"157.240.18.19","736","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3i7Ca4/y5/l/en_US/7m42yfZPpDl.js","-1","-1","200","-1","","270698","144","48","","181105_FB_X","-1","72","-1","100","31536000","1499464","1719","-1","GET","269605","269605","6822","0.21","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1718","/rsrc.php/v3i7Ca4/y5/l/en_US/7m42yfZPpDl.js","100","","Facebook","2455","1719","1791","1791","2455","664","1719","2455","736","21","22","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:33 GMT",
"157.240.18.19","326","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3ihzL4/yR/l/en_US/nA7TXnp1Hui.js","-1","-1","200","-1","","42910","144","48","","181105_FB_X","-1","76","-1","100","31536000","259606","1720","-1","GET","41818","41818","6822","0.22","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1719","/rsrc.php/v3ihzL4/yR/l/en_US/nA7TXnp1Hui.js","100","","Facebook","2046","1720","1796","1796","2046","250","1720","2046","326","22","23","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:30 GMT",
"157.240.18.19","538","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yf/r/xtvoWLr7Unz.js","-1","-1","200","-1","","58258","144","40","","181105_FB_X","-1","90","-1","100","31536000","269431","1720","-1","GET","57166","57166","6822","0.23","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1719","/rsrc.php/v3/yf/r/xtvoWLr7Unz.js","100","","Facebook","2258","1720","1810","1810","2258","448","1720","2258","538","23","24","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 10:34:23 GMT",
"157.240.18.19","320","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iYXl4/yr/l/en_US/tlpxUv0EPiM.js","-1","-1","200","-1","","13005","144","48","","181105_FB_X","-1","167","-1","100","31536000","54692","1721","-1","GET","11913","11913","6822","0.28","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1721","/rsrc.php/v3iYXl4/yr/l/en_US/tlpxUv0EPiM.js","100","","Facebook","2041","1721","1888","1888","2041","153","1721","2041","320","24","25","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 10:36:33 GMT",
"157.240.18.19","328","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/ym/r/W-DbcJxYH7m.js","-1","-1","200","-1","","6847","144","40","","181105_FB_X","-1","88","-1","100","31536000","21205","1721","-1","GET","5756","5756","6822","0.24","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/UiXTwNCuPqT.js","2","1720","/rsrc.php/v3/ym/r/W-DbcJxYH7m.js","100","","Facebook","2049","1721","1809","1809","2049","240","1721","2049","328","25","26","1","0","h2","high","application/x-javascript; charset=utf-8","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 10:34:23 GMT",
