"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"","634","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://netflix.com/","-1","-1","301","-1","","931","","0","","no-cache, no-store","181105_TB_Q","-1","634","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","netflix.com","-1","-1","","-1","0","/","-1","","","634","0","634","634","634","0","0","634","634","0","1","1","0","","","","","","","","",
"35.166.68.183","894","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://www.netflix.com/","-1","-1","200","-1","","75710","","829","","no-cache, no-store, must-revalidate","181105_TB_Q","-1","253","-1","-1","","295673","634","-1","GET","72867","72867","","0.2.1","-1","-1","www.netflix.com","100","-1","","1","634","/","-1","","","1528","634","887","887","1528","641","634","1528","894","1","2","1","0","http/1.1","high","text/html; charset=utf-8","1","gzip","0","","",
"35.166.68.183","145","","","-1","-1","Stylesheet","3","1475","1657","","1","","-1","1567","https://www.netflix.com/ichnaea/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=css&modalView=nmLanding","4","1567","200","90","","1156","1","1225","","no-cache, no-store, no-transform, max-age=0","181105_TB_Q","1479","104","1479","-1","","0","1658","88","GET","0","","","0.5","-1","-1","www.netflix.com","100","-1","https://www.netflix.com/","2","1462","/ichnaea/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=css&modalView=nmLanding","-1","","","1803","1658","1762","1762","1803","41","1475","1803","327","2","3","1","0","http/1.1","high","text/plain","","","Sun, 04 Nov 2018 01:01:53 GMT","","",
"23.64.92.98","88","","","-1","-1","Script","3","1461","1736","0","1","","100","1589","https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/bootstrap.js,common%7Cbootstrap.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/bck/true/none","84","1589","200","147","","4596","1","470","","private, max-age=16070400","181105_TB_Q","1545","57","1546","100","16070400","7716","1737","43","GET","2992","2992","","0.3","-1","-1","codex.nflxext.com","100","-1","https://www.netflix.com/","3","1460","/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/bootstrap.js,common%7Cbootstrap.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/bck/true/none","100","","Akamai","1825","1737","1794","1794","1825","31","1461","1825","362","3","4","1","0","http/1.1","high","application/javascript; charset=UTF-8","","gzip","Sun, 05 May 2019 20:35:02 GMT","","",
"23.64.92.98","1117","180650","","-1","62","Image","3","-1","-1","","1","","-1","-1","https://assets.nflxext.com/ffe/siteui/vlv3/9bfaf80d-e7f2-4a34-8b03-83e767b4babb/491149fe-cdf2-493d-b60a-d6ea904b4b02/US-en-20181029-popsignuptwoweeks-montage_500x800.jpg","-1","-1","200","-1","67526","180923","1","118","","public, max-age=45601087","181105_TB_Q","-1","206","-1","100","45601087","180650","1745","-1","GET","180650","","","0.10","-1","-1","assets.nflxext.com","100","-1","https://www.netflix.com/","5","1464","/ffe/siteui/vlv3/9bfaf80d-e7f2-4a34-8b03-83e767b4babb/491149fe-cdf2-493d-b60a-d6ea904b4b02/US-en-20181029-popsignuptwoweeks-montage_500x800.jpg","100","","Akamai","2862","1745","1951","1951","2862","911","1745","2862","1117","4","5","1","0","h2","low","image/jpeg","","","Wed, 15 Apr 2020 20:00:00 GMT","14","100",
"23.64.92.98","413","79259","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/v5/no-commitments.png","-1","-1","200","-1","0","79530","1","53","","public, max-age=45601087","181105_TB_Q","-1","178","-1","100","45601087","79259","1746","-1","GET","79259","","","0.9","-1","-1","assets.nflxext.com","100","-1","https://www.netflix.com/","5","1464","/ffe/siteui/acquisition/ourStory/v5/no-commitments.png","100","","Akamai","2159","1746","1924","1924","2159","235","1746","2159","413","5","6","1","0","h2","low","image/png","","","Wed, 15 Apr 2020 20:00:00 GMT","","",
"23.64.92.98","401","74802","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/v5/downloads.png","-1","-1","200","-1","0","75073","1","50","","public, max-age=45601087","181105_TB_Q","-1","105","-1","100","45601087","74802","1747","-1","GET","74802","","","0.8","-1","-1","assets.nflxext.com","100","-1","https://www.netflix.com/","5","1464","/ffe/siteui/acquisition/ourStory/v5/downloads.png","100","","Akamai","2148","1747","1852","1852","2148","296","1747","2148","401","6","7","1","0","h2","low","image/png","","","Wed, 15 Apr 2020 20:00:00 GMT","","",
"23.64.92.98","413","81205","","-1","100","Image","3","1472","1735","","1","","-1","1591","https://assets.nflxext.com/ffe/siteui/acquisition/ourStory/v5/devices.png","69","1591","200","144","0","81476","1","236","","public, max-age=45601087","181105_TB_Q","1541","53","1549","100","45601087","81205","1748","42","GET","81205","","","0.7","-1","-1","assets.nflxext.com","100","-1","https://www.netflix.com/","5","1464","/ffe/siteui/acquisition/ourStory/v5/devices.png","100","","Akamai","2161","1748","1801","1801","2161","360","1472","2161","668","7","8","1","0","h2","low","image/png","","","Wed, 15 Apr 2020 20:00:00 GMT","","",
"35.166.68.183","158","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=js&modalView=nmLanding","-1","-1","200","-1","","1155","1","1209","","no-cache, no-store, no-transform, max-age=0","181105_TB_Q","-1","127","-1","-1","","0","1817","-1","GET","0","","1452","0.11","-1","-1","www.netflix.com","100","-1","https://www.netflix.com/","1","1816","/ichnaea/cl2/freeform/WebsiteDetect?source=wwwhead&fetchType=js&modalView=nmLanding","-1","","","1975","1817","1944","1944","1975","31","1817","1975","158","8","9","1","0","http/1.1","medium","text/plain","","","Sun, 04 Nov 2018 01:01:53 GMT","","",
"35.166.68.183","157","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/cl2/freeform/WebsiteScreen?source=wwwhead&fetchType=js&winw=0&winh=0&screenw=375&screenh=603&ratio=2","-1","-1","200","-1","","1181","1","1235","","no-cache, no-store, no-transform, max-age=0","181105_TB_Q","-1","134","-1","-1","","0","1818","-1","GET","0","","1817","0.12","-1","-1","www.netflix.com","100","-1","https://www.netflix.com/","2","1816","/ichnaea/cl2/freeform/WebsiteScreen?source=wwwhead&fetchType=js&winw=0&winh=0&screenw=375&screenh=603&ratio=2","-1","","","1975","1818","1952","1952","1975","23","1818","1975","157","9","10","1","0","http/1.1","medium","text/plain","","","Sun, 04 Nov 2018 01:01:53 GMT","","",
"23.64.92.98","379","","","-1","-1","Script","3","1753","1871","0","1","","100","1817","https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/signup%7Chome%7CourStory%7Cbrowser%7CbrowserFrameworkClient.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/l/true/none","20","1817","200","54","","197349","1","496","","private, max-age=16070400","181105_TB_Q","1773","55","1774","100","16070400","654400","1871","43","GET","195741","195741","","0.4","-1","-1","codex.nflxext.com","100","-1","https://www.netflix.com/","6","1461","/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/signup%7Chome%7CourStory%7Cbrowser%7CbrowserFrameworkClient.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/l/true/none","100","","Akamai","2250","1871","1926","1926","2250","324","1753","2250","496","10","11","1","0","http/1.1","high","application/javascript; charset=UTF-8","","gzip","Sun, 05 May 2019 20:35:35 GMT","","",
"23.64.92.98","100","","","-1","-1","Stylesheet","3","1761","1876","0","1","","100","1826","https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-shakti-css-vc2328289/css/css/less%7Cpages%7Chome%7CourStory%7Cbrowser%7CourStoryBrowser.less/2/0B0P040J090I0T0W0Q0K0U0O0V0_/none/true/none","12","1826","200","50","","11506","1","485","","private, max-age=16070400","181105_TB_Q","1773","59","1775","100","16070400","56915","1876","51","GET","9903","9903","","0.6","-1","-1","codex.nflxext.com","100","-1","https://www.netflix.com/","4","1463","/%5E2.0.0/truthBundle/webui/0.0.1-shakti-css-vc2328289/css/css/less%7Cpages%7Chome%7CourStory%7Cbrowser%7CourStoryBrowser.less/2/0B0P040J090I0T0W0Q0K0U0O0V0_/none/true/none","100","","Akamai","1976","1876","1935","1935","1976","41","1761","1976","213","11","12","1","0","http/1.1","high","text/css; charset=UTF-8","","gzip","Wed, 08 May 2019 15:05:27 GMT","","",
"23.64.92.98","726","","","-1","-1","Font","3","-1","-1","","1","","-1","-1","https://assets.nflxext.com/ffe/siteui/fonts/nf-icon-v1-93.woff","-1","-1","200","-1","","73873","3","43","","public, max-age=45601087","181105_TB_Q","-1","58","-1","100","45601087","73572","2140","-1","GET","73572","","","0.13","-1","-1","assets.nflxext.com","100","-1","https://www.netflix.com/","5","2096","/ffe/siteui/fonts/nf-icon-v1-93.woff","100","","Akamai","2866","2140","2198","2198","2866","668","2140","2866","726","12","13","1","0","h2","medium","font/woff","","","Wed, 15 Apr 2020 20:00:00 GMT","","",
"35.166.68.183","160","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/log","-1","-1","200","-1","","971","3","2779","","","181105_TB_Q","-1","145","-1","-1","","0","2836","-1","POST","0","","26485","0.17","-1","-1","www.netflix.com","100","-1","https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/signup%7Chome%7CourStory%7Cbrowser%7CbrowserFrameworkClient.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/l/true/none","1","2834","/ichnaea/log","-1","","","2996","2836","2981","2981","2996","15","2836","2996","160","13","14","1","0","http/1.1","medium","text/plain","","","","","",
"23.64.92.98","325","","","-1","-1","XHR","3","2819","3093","0","1","","100","2934","https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/signup%7Csimplicity%7CsimpleSignupClient.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/l/true/none","69","2934","200","159","","329135","43","510","","private, max-age=16070400","181105_TB_Q","2888","69","2890","100","16070400","1151194","3093","44","GET","327528","327528","32","0.15","-1","-1","codex.nflxext.com","100","-1","https://www.netflix.com/","9","2813","/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/signup%7Csimplicity%7CsimpleSignupClient.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/l/true/none","100","","Akamai","3418","3093","3162","3162","3418","256","2819","3418","597","14","15","1","0","http/1.1","medium","application/javascript; charset=UTF-8","","gzip","Sun, 05 May 2019 20:35:37 GMT","","",
"23.64.92.98","186","","","-1","-1","Document","3","2808","3098","0","1","","100","2935","https://ae.nflximg.net/monet/scripts/adtech_iframe_target_04.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","77","2935","200","163","","2026","1","640","","","181105_TB_Q","2885","59","2886","100","","4306","3099","49","GET","1567","1567","6108","0.14","-1","-1","ae.nflximg.net","100","-1","https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-shakti-js-mk-vc2328289/js/js/signup%7Chome%7CourStory%7Cbrowser%7CbrowserFrameworkClient.js/2/4_044v4t4e4I094a4B4Z070u014-4A4y0e4R4P4N4j4C4r4F4l4k19034V/l/true/none","7","2806","/monet/scripts/adtech_iframe_target_04.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","","Akamai","3285","3099","3158","3158","3285","127","2808","3285","475","15","16","1","0","http/1.1","high","text/html","","gzip","","","",
"23.64.92.98","191","","","-1","-1","XHR","3","3095","3226","0","1","","100","3161","https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-shakti-css-vc2328289/css/css/less%7Cpages%7Csignup%7Csimplicity%7Csimplicity.less/2/0B0P040J090I0T0W0Q0K0U0O0V0_/none/true/none","11","3161","200","65","","31700","92","492","","private, max-age=16070400","181105_TB_Q","3106","51","3107","100","16070400","187506","3226","54","GET","30109","30109","32","0.16","-1","-1","codex.nflxext.com","100","-1","https://www.netflix.com/","8","2814","/%5E2.0.0/truthBundle/webui/0.0.1-shakti-css-vc2328289/css/css/less%7Cpages%7Csignup%7Csimplicity%7Csimplicity.less/2/0B0P040J090I0T0W0Q0K0U0O0V0_/none/true/none","100","","Akamai","3417","3226","3277","3277","3417","140","3095","3417","321","16","17","1","0","http/1.1","medium","text/css; charset=UTF-8","","gzip","Sun, 05 May 2019 17:26:55 GMT","","",
"","590","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/log","-1","-1","200","-1","","897","64","0","","","181105_TB_Q","-1","590","-1","-1","","0","3292","-1","OPTIONS","0","","29","0.18","-1","-1","www.netflix.com","100","-1","https://ae.nflximg.net/monet/scripts/adtech_iframe_target_04.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","3292","/ichnaea/log","-1","","","3882","3292","3882","3882","3882","0","3292","3882","590","17","18","1","0","","","text/plain","","","","","",
"23.64.92.98","134","","","-1","-1","Document","3","-1","-1","0","1","","100","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","-1","200","-1","","7175","88","914","","","181105_TB_Q","-1","51","-1","100","","79583","3371","-1","GET","6716","6716","27","0.20","-1","-1","ae.nflximg.net","100","-1","https://ae.nflximg.net/monet/scripts/adtech_iframe_target_04.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","7","3352","/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","","Akamai","3505","3371","3422","3422","3505","83","3371","3505","134","18","19","1","0","http/1.1","high","text/html","","gzip","","","",
"35.166.68.183","147","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/cl2/freeform/DebugEvent?source=www&action=cssSimplicityPrefetch&statusCode=200&startTime=1541379714315&endTime=1541379714920","-1","-1","200","-1","","1205","75","1390","","no-cache, no-store, no-transform, max-age=0","181105_TB_Q","-1","115","-1","-1","","0","3420","-1","GET","0","","28","0.21","-1","-1","www.netflix.com","100","-1","https://www.netflix.com/","1","3419","/ichnaea/cl2/freeform/DebugEvent?source=www&action=cssSimplicityPrefetch&statusCode=200&startTime=1541379714315&endTime=1541379714920","-1","","","3567","3420","3535","3535","3567","32","3420","3567","147","19","20","1","0","http/1.1","low","text/plain","","","Sun, 04 Nov 2018 01:01:55 GMT","","",
"35.166.68.183","635","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://www.netflix.com/ichnaea/cl2/freeform/DebugEvent?source=www&action=jsSimplicityPrefetch&statusCode=200&startTime=1541379714314&endTime=1541379714935","-1","-1","200","-1","","1205","26","1389","","no-cache, no-store, no-transform, max-age=0","181105_TB_Q","-1","601","-1","-1","","0","3459","-1","GET","0","","28","0.22","-1","-1","www.netflix.com","100","-1","https://www.netflix.com/","2","3458","/ichnaea/cl2/freeform/DebugEvent?source=www&action=jsSimplicityPrefetch&statusCode=200&startTime=1541379714314&endTime=1541379714935","-1","","","4094","3459","4060","4060","4094","34","3459","4094","635","20","21","1","0","http/1.1","low","text/plain","","","Sun, 04 Nov 2018 01:01:55 GMT","","",
"","690","","","-1","-1","XHR","3","-1","-1","","1","","-1","-1","https://ichnaea-web.netflix.com/log","-1","-1","200","-1","","822","6","0","","","181105_TB_Q","-1","690","-1","-1","","0","3520","-1","OPTIONS","0","","78055","0.23","-1","-1","ichnaea-web.netflix.com","100","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","3520","/log","-1","","","4210","3520","4210","4210","4210","0","3520","4210","690","21","22","1","0","","","text/plain","","","","","",
"","444","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://googleads.g.doubleclick.net/pagead/viewthroughconversion/991179584/?value=0&guid=ON&script=0","-1","-1","302","-1","","836","6","0","","no-cache, must-revalidate","181105_TB_Q","-1","444","-1","-1","","0","3522","-1","GET","42","","79409","0.25","-1","-1","googleads.g.doubleclick.net","-1","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","3522","/pagead/viewthroughconversion/991179584/?value=0&guid=ON&script=0","-1","","","3966","3522","3966","3966","3966","0","3522","3966","444","22","23","1","0","","","image/gif","","","Fri, 01 Jan 1990 00:00:00 GMT","","",
"","531","","","-1","-1","Image","3","-1","-1","","1","","-1","-1","https://googleads.g.doubleclick.net/pagead/viewthroughconversion/983869946/?value=0&guid=ON&script=0","-1","-1","302","-1","","836","6","0","","no-cache, must-revalidate","181105_TB_Q","-1","531","-1","-1","","0","3522","-1","GET","42","","79409","0.26","-1","-1","googleads.g.doubleclick.net","-1","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","-1","3522","/pagead/viewthroughconversion/983869946/?value=0&guid=ON&script=0","-1","","","4053","3522","4053","4053","4053","0","3522","4053","531","23","24","1","0","","","image/gif","","","Fri, 01 Jan 1990 00:00:00 GMT","","",
"54.204.46.80","106","","","-1","-1","Document","3","3327","3618","0","1","","100","3449","https://s.thebrighttag.com/tag?site=voKfK9l&mode=iframe&membership_status=ANONYMOUS&country=US&fbaId=83f44161-3327-4109-802c-3aed61364262&is_member=anonymous&wasFormerMember=false&referrer=netflix.com%2Fbt%2FnmLanding&enabledAdPlatforms=group1%2Cgroup2%2Cgroup3","79","3449","200","169","","1995","83","877","","private, must-revalidate","181105_TB_Q","3406","69","3408","-1","","12250","3618","41","GET","1582","1582","27","0.19","-1","-1","s.thebrighttag.com","100","-1","https://ae.nflximg.net/monet/scripts/adtech_iframe_target_04.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","10","3325","/tag?site=voKfK9l&mode=iframe&membership_status=ANONYMOUS&country=US&fbaId=83f44161-3327-4109-802c-3aed61364262&is_member=anonymous&wasFormerMember=false&referrer=netflix.com%2Fbt%2FnmLanding&enabledAdPlatforms=group1%2Cgroup2%2Cgroup3","-1","","","3724","3618","3687","3687","3724","37","3327","3724","395","24","25","1","0","http/1.1","high","text/html","","gzip","Thu, 01 Jan 1970 00:00:00 GMT","","",
"157.240.18.35","117","44","","-1","100","Image","3","3529","3676","","1","","-1","3562","https://www.facebook.com/tr?id=829253787145710&ev=NM_landing&cd[value]=9.99&cd[currency]=USD","2","3562","200","114","0","418","6","451","","no-cache, must-revalidate, max-age=0","181105_TB_Q","3531","95","3532","100","","44","3676","30","GET","44","","79409","0.27","-1","-1","www.facebook.com","100","-1","https://ae.nflximg.net/monet/scripts/netflix_tag_03.html?data=%7B%22membership_status%22%3A%22ANONYMOUS%22%2C%22country%22%3A%22US%22%2C%22fbaId%22%3A%2283f44161-3327-4109-802c-3aed61364262%22%2C%22is_member%22%3A%22anonymous%22%2C%22wasFormerMember%22%3Afalse%2C%22referrer%22%3A%22nmLanding%22%7D","11","3523","/tr?id=829253787145710&ev=NM_landing&cd[value]=9.99&cd[currency]=USD","-1","","Facebook","3793","3676","3771","3771","3793","22","3529","3793","263","25","26","1","0","h2","low","image/gif","","","Mon, 05 Nov 2018 01:01:55 GMT","","",
